Counter,coll.date,count.date,block,row.no,plant.no,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds,notes,total.seeds,big.med.seeds,percent.big.seeds,percent.big.med.seeds,percent.unfertilized
Elizabeth,7/20/2018,10/29/2018,A,2,12,7,1,1.5152,14,18,56,4,,78,74,0.230769231,0.948717949,0.051282051
Elizabeth,7/20/2018,10/29/2018,A,2,12,7,2,2.2875,15,28,69,4,,101,97,0.277227723,0.96039604,0.03960396
Elizabeth,7/20/2018,10/29/2018,A,2,12,7,3,1.7595,11,35,51,10,,96,86,0.364583333,0.895833333,0.104166667
Elizabeth,7/20/2018,10/29/2018,A,2,12,7,4,1.5272,9,38,55,3,,96,93,0.395833333,0.96875,0.03125
Elizabeth,7/20/2018,10/29/2018,A,2,12,7,5,2.1431,13,28,51,15,,94,79,0.29787234,0.840425532,0.159574468
Elizabeth,7/23/2018,9/11/2018,A,3,120,5,1,1.7267,12,21,48,9,,78,69,0.269230769,0.884615385,0.115384615
Elizabeth,7/23/2018,9/11/2018,A,3,120,5,2,2.1505,11,26,60,6,,92,86,0.282608696,0.934782609,0.065217391
Elizabeth,7/23/2018,9/11/2018,A,3,120,5,3,1.9097,12,27,34,14,,75,61,0.36,0.813333333,0.186666667
Elizabeth,7/23/2018,9/11/2018,A,3,120,5,4,1.5019,10,30,60,5,,95,90,0.315789474,0.947368421,0.052631579
Elizabeth,7/23/2018,9/11/2018,A,3,120,5,5,2.1062,12,22,49,11,,82,71,0.268292683,0.865853659,0.134146341
Elizabeth,7/23/2018,9/11/2018,A,2,98,1,1,1.8179,16,23,49,6,,78,72,0.294871795,0.923076923,0.076923077
Elizabeth,7/23/2018,9/11/2018,A,6,354,4,1,1.6827,10,29,34,16,,79,63,0.367088608,0.797468354,0.202531646
Elizabeth,7/23/2018,9/11/2018,A,6,354,4,2,1.4318,8,36,32,9,,77,68,0.467532468,0.883116883,0.116883117
Elizabeth,7/23/2018,9/11/2018,A,6,354,4,3,1.5683,9,34,33,12,,79,67,0.430379747,0.848101266,0.151898734
Elizabeth,7/23/2018,9/11/2018,A,6,354,4,4,1.2601,8,37,23,9,,69,60,0.536231884,0.869565217,0.130434783
Elizabeth,7/23/2018,9/11/2018,A,1,50,1,1,0.9872,9,21,37,3,,61,58,0.344262295,0.950819672,0.049180328
Elizabeth,7/23/2018,9/17/2018,A,2,92,3,1,1.7097,13,25,31,16,,72,56,0.347222222,0.777777778,0.222222222
Elizabeth,7/23/2018,9/17/2018,A,2,92,3,2,0.9406,18,0,1,6,,7,1,0,0.142857143,0.857142857
Elizabeth,7/23/2018,9/17/2018,A,2,92,3,3,1.1666,11,7,24,9,,40,31,0.175,0.775,0.225
Elizabeth,7/23/2018,9/17/2018,A,7,275,4,1,1.5831,13,22,45,7,,74,67,0.297297297,0.905405405,0.094594595
Elizabeth,7/23/2018,9/17/2018,A,7,275,4,2,1.2932,11,23,35,12,,70,58,0.328571429,0.828571429,0.171428571
Elizabeth,7/23/2018,9/17/2018,A,7,275,4,3,1.1861,14,6,22,7,,35,28,0.171428571,0.8,0.2
Elizabeth,7/23/2018,9/17/2018,A,7,275,4,4,1.1879,13,15,41,3,,59,56,0.254237288,0.949152542,0.050847458
Elizabeth,7/23/2018,9/17/2018,A,6,53,5,1,1.1662,9,33,49,14,,96,82,0.34375,0.854166667,0.145833333
Elizabeth,7/23/2018,9/17/2018,A,6,53,5,2,0.8728,8,26,54,6,,86,80,0.302325581,0.930232558,0.069767442
Elizabeth,7/23/2018,9/17/2018,A,6,53,5,3,1.2055,8,21,37,13,,71,58,0.295774648,0.816901408,0.183098592
Elizabeth,7/23/2018,9/17/2018,A,6,53,5,4,1.3523,9,20,60,14,,94,80,0.212765957,0.85106383,0.14893617
Elizabeth,7/23/2018,9/17/2018,A,6,53,5,5,1.4988,10,32,41,8,,81,73,0.395061728,0.901234568,0.098765432
