Date,Farm,Treatment,Plant #,Flower #,
6/4/2019,Adams,E,395,14,
6/4/2019,Adams,E,215,24,
6/4/2019,Adams,E,398,6,
6/7/2019,Isham,C,40,5,
6/7/2019,Isham,C,3,5,
6/7/2019,Isham,C,151,9,
6/7/2019,Isham,C,1,20,
6/10/2019,Knoll,C,26,1,
6/10/2019,Knoll,C,368,7,
6/10/2019,Knoll,A,230,21,
6/10/2019,Knoll,A,148,2,
6/10/2019,Knoll,A,81,6,
6/10/2019,Knoll,E,356,1,
6/10/2019,Knoll,E,251,12,
6/10/2019,Knoll,E,257,5,
6/10/2019,Knoll,E,174,6,
6/10/2019,Knoll,E,122,5,
6/10/2019,Knoll,E,289,21,
6/10/2019,Knoll,E,254,11,
6/10/2019,Knoll,C,26,1,
6/10/2019,Knoll,C,368,7,
6/6/2019,Knoll,E,254,18,
6/6/2019,Knoll,E,289,29,
6/6/2019,Knoll,E,251,2,
6/6/2019,Knoll,E,257,3,
6/6/2019,Knoll,C,26,4,
6/7/2019,Charlotte,A,207,5,
6/7/2019,Charlotte,E,323,10,
6/7/2019,Charlotte,E,358,27,
6/7/2019,Charlotte,E,193,13,
6/7/2019,Charlotte,E,350,7,
6/7/2019,Charlotte,E,335,8,
6/7/2019,Charlotte,A,73,25,
6/7/2019,Charlotte,A,218,4,
6/7/2019,Charlotte,A,64,11,
6/7/2019,Charlotte,A,60,13,
6/7/2019,Charlotte,A,169,1,
6/7/2019,Charlotte,A,351,1,
6/7/2019,Charlotte,C,9,87,
6/7/2019,Charlotte,C,28,4,
6/7/2019,Isham,E,278,6,
6/7/2019,Isham,E,290,2,
6/7/2019,Isham,E,348,3,
6/7/2019,Isham,E,396,7,
6/7/2019,Isham,E,128,26,
6/7/2019,Isham,E,348,2,
6/7/2019,Isham,E,201,24,
6/7/2019,Isham,A,231,3,
6/7/2019,Isham,A,142,8,
6/7/2019,Isham,A,298,9,
6/5/2019,Knoll,A,230,39,
6/5/2019,Knoll,A,148,6,
6/11/2019,Charlotte,A,73,4,
6/11/2019,Charlotte,A,64,3,
6/11/2019,Charlotte,A,60,1,
6/11/2019,Charlotte,A,169,1,
6/11/2019,Charlotte,E,358,1,
6/11/2019,Charlotte,E,301,4,
6/11/2019,Charlotte,E,323,5,
6/11/2019,Charlotte,E,193,4,
6/11/2019,Charlotte,E,246,3,
6/11/2019,Charlotte,E,350,6,
6/11/2019,Charlotte,E,335,12,
6/11/2019,Adams,C,99,3,
6/11/2019,Adams,C,45,14,
6/11/2019,Adams,C,307,8,
6/11/2019,Adams,A,335,2,
6/11/2019,Adams,A,241,6,
6/11/2019,Adams,A,105,6,
6/11/2019,Adams,A,109,4,
6/11/2019,Adams,A,228,3,
6/13/2019,Isham,C,1,17,
6/13/2019,Isham,C,40,3,
6/13/2019,Isham,C,3,1,
6/13/2019,Isham,C,250,2,
6/13/2019,Boutin,C,96,5,
6/13/2019,Boutin,C,321,5,
6/6/2019,Charlotte,C,28,6,
6/6/2019,Charlotte,C,9,93,
